incident_id,line_id,equipment_id,equipment_name,equipment_type,failure_type,failure_category,downtime_minutes,root_cause,resolution_action,parts_cost_usd,labor_hours,incident_date,incident_time,severity,shift,reported_by,verified_by,mttr_minutes,mtbf_hours,environmental_temp_c,humidity_percent,production_impact_units
INC_2024_001,LINE_A1,EQ_CB101,Conveyor_Belt_CB101,Material Handling,Mechanical Failure,Drive System,145,Belt tension sensor malfunction causing misalignment and slippage under load conditions,Replaced tension sensor (PN: TS-4402) and recalibrated belt tracking system using laser alignment tool,450,3.5,2024-01-15,14:23:00,HIGH,Day Shift,John Martinez,Sarah Chen,145,672,22,45,1250
INC_2024_002,LINE_B3,EQ_RA205,Robotic_Arm_RA205,Robotics,Software Error,Control System,67,PLC communication timeout due to network latency spikes from concurrent SCADA queries,Updated PLC firmware to v3.2.1 and optimized network configuration with QoS prioritization,0,2.5,2024-01-16,22:47:00,MEDIUM,Night Shift,Sarah Chen,Michael Roberts,67,1248,21,42,890
INC_2024_003,LINE_A1,EQ_HP110,Hydraulic_Press_HP110,Press Equipment,Overheating,Thermal Management,203,Coolant pump impeller damage from cavitation leading to 40% flow reduction and insufficient heat dissipation,Replaced coolant pump (PN: CP-8801) and cleaned heat exchanger fins; added flow monitoring sensor,1250,5.0,2024-01-18,09:15:00,CRITICAL,Day Shift,Michael Roberts,John Martinez,203,456,28,38,2100
INC_2024_004,LINE_C2,EQ_VS301,Vision_System_VS301,Quality Inspection,Calibration Drift,Measurement Accuracy,45,Environmental temperature fluctuations (±5°C) affecting camera sensor thermal stability,Installed temperature-controlled enclosure with ±1°C stability and recalibrated using NIST traceable target,780,1.5,2024-01-20,16:32:00,LOW,Evening Shift,Lisa Wang,David Kim,45,2184,19,55,0
INC_2024_005,LINE_B3,EQ_WR220,Welding_Robot_WR220,Welding,Power Supply Issue,Electrical System,189,Voltage spike (380V → 425V) from grid switching caused SCR module failure in primary power stage,Replaced power supply unit (PN: PSU-6604) and installed Type 2 SPD surge protector rated 40kA,2100,4.5,2024-01-22,03:28:00,HIGH,Night Shift,David Kim,Sarah Chen,189,832,23,41,1680
INC_2024_006,LINE_A1,EQ_CB101,Conveyor_Belt_CB101,Material Handling,Material Jam,Material Flow,34,Foreign object debris (metal shavings 3mm dia.) blocking material flow path at transfer point,Removed debris and installed upstream 2mm mesh screening mechanism with automatic cleaning cycle,320,1.0,2024-01-23,11:05:00,MEDIUM,Day Shift,John Martinez,Lisa Wang,34,167,22,44,420
INC_2024_007,LINE_D1,EQ_AGV105,AGV_Vehicle_AGV105,Autonomous Vehicle,Navigation Error,Sensor System,78,LIDAR sensor occlusion from accumulated dust particles (>50µm) reducing effective range by 35%,Cleaned LIDAR sensor and implemented preventive cleaning schedule (daily); upgraded to IP67 enclosure,180,2.0,2024-01-25,18:41:00,MEDIUM,Evening Shift,Rachel Green,Tom Wilson,78,1456,20,48,0
INC_2024_008,LINE_C2,EQ_AS310,Assembly_Station_AS310,Assembly,Pneumatic Failure,Compressed Air,156,Air compressor intake filter 85% clogged reducing system pressure from 6.5 bar to 4.2 bar,Replaced air filter (PN: AF-2203) and upgraded to high-efficiency 99.97% filtration; added pressure monitoring,95,3.5,2024-01-27,13:19:00,HIGH,Day Shift,Tom Wilson,Rachel Green,156,624,24,39,1340
INC_2024_009,LINE_B3,EQ_RA205,Robotic_Arm_RA205,Robotics,Collision Detection,Safety System,92,Safety zone violation due to misconfigured light curtain beam spacing (25mm actual vs 14mm required per ISO 13855),Reconfigured safety zones per risk assessment and conducted operator retraining (8 personnel); updated procedures,0,6.0,2024-01-29,20:13:00,HIGH,Night Shift,Sarah Chen,Michael Roberts,92,576,21,43,970
INC_2024_010,LINE_A1,EQ_HP110,Hydraulic_Press_HP110,Press Equipment,Seal Leakage,Hydraulic System,124,Worn hydraulic cylinder seals (Viton material) degraded from thermal cycling (15-85°C range),Replaced hydraulic seals (PN: HS-9902) with high-temperature PTFE composite rated -40°C to 200°C,680,3.0,2024-02-01,10:47:00,MEDIUM,Day Shift,Michael Roberts,John Martinez,124,328,26,40,1120
