metric_id,line_id,shift_date,shift,planned_production_time_min,downtime_min,operating_time_min,ideal_cycle_time_sec,total_units_produced,good_units,defect_units,availability_percent,performance_percent,quality_percent,oee_percent,target_oee_percent,equipment_ids_used,crew_size,shift_supervisor,notes
PROD_2024_001,LINE_A1,2024-01-15,Day Shift,480,145,335,28.5,705,692,13,69.79,94.18,98.16,64.54,75.00,"EQ_CB101,EQ_HP110",4,John Martinez,Conveyor belt tension sensor failure caused 145min downtime (INC_2024_001); above target defect rate on valve assemblies due to surface scratches
PROD_2024_002,LINE_B3,2024-01-16,Night Shift,480,67,413,42.0,588,582,6,86.04,96.83,98.98,82.46,75.00,"EQ_RA205,EQ_WR220",3,Sarah Chen,PLC communication timeout reduced production rate in first half of shift; strong recovery in second half exceeded target OEE
PROD_2024_003,LINE_A1,2024-01-18,Day Shift,480,203,277,28.5,583,567,16,57.71,96.88,97.25,54.42,75.00,"EQ_CB101,EQ_HP110",4,Michael Roberts,Hydraulic press overheating major incident (INC_2024_003); late shift start due to coolant pump replacement; quality issues with adhesive failures
PROD_2024_004,LINE_C2,2024-01-20,Evening Shift,480,45,435,35.2,744,741,3,90.63,98.73,99.60,89.14,80.00,"EQ_VS301,EQ_AS310",4,Lisa Wang,Vision system calibration drift minor impact; exceeded target OEE despite downtime; excellent quality performance with minimal defects
PROD_2024_005,LINE_B3,2024-01-22,Night Shift,480,189,291,42.0,415,403,12,60.63,98.22,97.11,57.83,75.00,"EQ_RA205,EQ_WR220",3,David Kim,Welding robot power supply failure major downtime; emergency parts procurement required; completed minimal production target
PROD_2024_006,LINE_D1,2024-01-25,Evening Shift,480,78,402,30.0,803,798,5,83.75,99.75,99.38,83.08,80.00,"EQ_AGV105,EQ_PM115",3,Rachel Green,AGV navigation error minor downtime; strong performance overall; packaging line running efficiently with minimal rejects
PROD_2024_007,LINE_A1,2024-01-30,Day Shift,480,234,246,28.5,518,512,6,51.25,96.94,98.84,49.14,75.00,"EQ_CB101,EQ_HP110",4,John Martinez,Conveyor drive motor failure critical downtime (INC_2024_014); bearing replacement and lubrication system upgrade; significantly below target
PROD_2024_008,LINE_C2,2024-02-05,Day Shift,480,41,439,35.2,750,747,3,91.46,98.55,99.60,89.74,80.00,"EQ_VS301,EQ_AS310",4,Tom Wilson,Vision system lighting failure minor impact; quick recovery; consistently exceeding target OEE on this line
PROD_2024_009,LINE_B3,2024-02-07,Night Shift,480,167,313,42.0,446,434,12,65.21,97.72,97.31,62.02,75.00,"EQ_RA205,EQ_WR220",3,Sarah Chen,Welding robot wire feed inconsistency (INC_2024_013); porosity defects in 12 welds requiring rework; tension system upgraded
PROD_2024_010,LINE_D1,2024-02-12,Evening Shift,480,89,391,30.0,781,779,2,81.46,99.87,99.74,81.19,80.00,"EQ_AGV105,EQ_PM115",3,Rachel Green,AGV battery degradation reduced speed; battery replacement completed; excellent quality performance; exceeded target
PROD_2024_011,LINE_A1,2024-02-16,Day Shift,480,178,302,28.5,636,624,12,62.92,96.98,98.11,59.87,75.00,"EQ_CB101,EQ_HP110",4,Michael Roberts,Hydraulic press pressure loss (INC_2024_016); directional valve replacement; quality issues with dimensional tolerances
PROD_2024_012,LINE_C2,2024-02-24,Day Shift,480,34,446,35.2,762,759,3,92.92,98.60,99.61,91.25,80.00,"EQ_VS301,EQ_AS310",4,Lisa Wang,Vision system focus drift minimal impact; vibration isolation installed; strong performance; well above target OEE
PROD_2024_013,LINE_B3,2024-02-26,Night Shift,480,123,357,42.0,509,504,5,74.38,97.88,99.02,72.10,75.00,"EQ_RA205,EQ_WR220",3,David Kim,Gas flow regulator failure (INC_2024_022); argon flow reduced causing weld quality concerns; close to target after recovery
PROD_2024_014,LINE_D1,2024-03-08,Evening Shift,480,58,422,30.0,845,839,6,87.92,99.92,99.29,87.33,80.00,"EQ_AGV105,EQ_PM115",3,Rachel Green,Packaging conveyor slip minor downtime; oil contamination cleaned; drive belt replaced; excellent overall performance
PROD_2024_015,LINE_A1,2024-03-10,Day Shift,480,167,313,28.5,660,648,12,65.21,97.10,98.18,62.15,75.00,"EQ_CB101,EQ_HP110",4,John Martinez,Conveyor idler bearing failure (INC_2024_028); water ingress caused bearing seizure; significant production loss
PROD_2024_016,LINE_C2,2024-03-20,Day Shift,480,72,408,35.2,697,691,6,85.00,98.66,99.14,83.11,80.00,"EQ_VS301,EQ_AS310",4,Tom Wilson,Assembly station pneumatic actuator slow response; cylinder seals replaced; good performance; above target
PROD_2024_017,LINE_B3,2024-03-22,Night Shift,480,88,392,42.0,559,554,5,81.67,97.86,99.11,79.22,75.00,"EQ_RA205,EQ_WR220",3,Sarah Chen,Robotic arm gripper misalignment (INC_2024_034); mounting bracket replaced; TCP recalibrated; exceeded target OEE
PROD_2024_018,LINE_D1,2024-04-01,Evening Shift,480,123,357,30.0,714,707,7,74.38,99.92,99.02,73.66,80.00,"EQ_AGV105,EQ_PM115",3,Rachel Green,AGV steering motor fault; servo motor encoder contamination; reduced navigation speed impacted throughput
PROD_2024_019,LINE_A1,2024-04-19,Day Shift,480,189,291,28.5,613,603,10,60.63,96.90,98.37,57.83,75.00,"EQ_CB101,EQ_HP110",4,Michael Roberts,Hydraulic press cylinder drift major downtime (INC_2024_048); check valve leakage; system pressure tested to 250 bar
PROD_2024_020,LINE_C2,2024-04-29,Day Shift,480,67,413,35.2,705,702,3,86.04,98.53,99.57,84.40,80.00,"EQ_VS301,EQ_AS310",4,Lisa Wang,Vision system PC hard drive warnings detected; replaced with industrial SSD; minimal production impact; strong performance
PROD_2024_021,LINE_B3,2024-05-01,Night Shift,480,134,346,42.0,494,488,6,72.08,97.97,98.79,69.76,75.00,"EQ_RA205,EQ_WR220",3,David Kim,Welding water cooler leak (INC_2024_054); recirculator pump seal failure; coolant refilled; close to target after recovery
